模型名称,文件大小(MB),总参数量,可训练参数,GFLOPs,推理时间(ms),FPS,状态
yolov5s-fl_,13.78,"7,015,519",0,7.3,1.35,741.2,成功
yolov5s-sparse-moe_,106.31,"55,219,235",0,9.3,2.91,343.9,成功
yolov5s-ghost_1_,10.16,"5,084,343",0,4.8,1.7,588.7,成功
yolov5s-ghost_123_,10.38,"5,184,679",0,4.8,2.68,372.5,成功
yolov5x_,165.11,"86,180,143",0,94.9,6.96,143.7,成功
yolov5s_,13.78,"7,015,519",0,7.3,1.33,754.5,成功
yolov5s-se_,14.04,"7,143,007",0,7.4,1.74,575.4,成功
yolov5s-ghost_2_,14.0,"7,115,855",0,7.4,2.24,446.5,成功
yolov5s-wff_,13.6,"6,917,863",0,7.3,1.52,658.2,成功
yolov5s-distill_,13.78,"7,015,519",0,7.3,1.33,750.2,成功
yolov5s-ghost_3_,13.78,"7,015,519",0,7.3,1.36,737.7,成功
