模型名称,文件大小(MB),总参数量,可训练参数,GFLOPs,推理时间(ms),FPS,状态
yolov5s-fl_,13.78,"7,015,519",0,3.1,32.34,30.9,成功
yolov5s-sparse-moe_,106.31,"55,219,235",0,3.9,22.83,43.8,成功
yolov5s-ghost_1_,10.16,"5,084,343",0,2.0,22.49,44.5,成功
yolov5s-ghost_123_,10.38,"5,184,679",0,2.0,18.92,52.8,成功
yolov5x_,165.11,"86,180,143",0,40.1,116.09,8.6,成功
yolov5s_,13.78,"7,015,519",0,3.1,16.02,62.4,成功
yolov5s-se_,14.04,"7,143,007",0,3.1,24.41,41.0,成功
yolov5s-ghost_2_,14.0,"7,115,855",0,3.1,18.43,54.3,成功
yolov5s-wff_,13.6,"6,917,863",0,3.1,17.03,58.7,成功
yolov5s-distill_,13.78,"7,015,519",0,3.1,16.49,60.6,成功
yolov5s-ghost_3_,13.78,"7,015,519",0,3.1,17.56,56.9,成功
